District,Latitude,Longitude
Dhaka,23.7115253,90.4111451
Faridpur,23.6070822,89.8429406
Gazipur,24.0022858,90.4264283
Gopalganj,23.0050857,89.8266059
Jamalpur,24.937533,89.937775
Kishoreganj,24.444937,90.776575
Madaripur,23.164102,90.1896805
Manikganj,23.861651,90.000323
Munshiganj,23.498093,90.412662
Mymensingh,24.747149,90.420273
Narayanganj,23.63366,90.496482
Narsingdi,23.932233,90.71541
Netrokona,24.870955,90.727887
Rajbari,23.7574305,89.6444665
Shariatpur,23.219703,90.350126
Sherpur,25.0204933,90.0152966
Tangail,24.251345,89.91671
Bogura,24.8465228,89.377755
Joypurhat,25.094735,89.094494
Naogaon,24.91316,88.753095
Natore,24.420556,89.000282
Nawabganj,24.5965034,88.2775122
Pabna,23.998524,89.233645
Rajshahi,24.363589,88.624135
Sirajgonj,24.4533978,89.7006815
Dinajpur,25.6217061,88.6354504
Gaibandha,25.328751,89.528088
Kurigram,25.805445,89.636174
Lalmonirhat,25.99234,89.284725
Nilphamari,25.931794,88.856006
Panchagarh,26.3411,88.5541606
Rangpur,25.7558096,89.244462
Thakurgaon,26.0336945,88.4616834
Barguna,22.095291,90.11207
Barishal,22.701002,90.353451
Bhola,22.685923,90.648179
Jhalokati,22.178531,90.710102
Patuakhali,22.3596316,90.3298712
Pirojpur,22.579074,89.975926
Bandarban,22.1953275,92.2183773
Brahmanbaria,23.9570904,91.1119286
Chandpur,23.2332585,90.6712912
Chattogram,22.335109,91.834073
Cumilla,23.4682747,91.1788135
Cox's Bazar,21.427228,92.005807
Feni,23.023231,91.3840844
Khagrachari,23.119285,91.984663
Lakshmipur,22.942477,90.841184
Noakhali,22.869563,91.099398
Rangamati,22.732417,92.298513
Habiganj,24.374945,91.41553
Maulvibazar,24.482934,91.777417
Sunamganj,25.0658042,91.3950115
Sylhet,24.8897956,91.8697894
Bagerhat,22.651568,89.785938
Chuadanga,23.6401961,88.841841
Jashore,23.16643,89.2081126
Jhenaidah,23.5448176,89.1539213
Khulna,22.815774,89.568679
Kushtia,23.901258,89.120482
Magura,23.487337,89.419956
Meherpur,23.762213,88.631821
Narail,23.172534,89.512672
Satkhira,22.315481,89.111453
