Parameter,Description
ALLSKY_SFC_LW_DWN,Downward Thermal Infrared (Longwave) Radiative Flux
ALLSKY_SFC_SW_DWN,All Sky Insolation Incident on a Horizontal Surface
ALLSKY_SFC_SW_DWN_00_GMT,All Sky Insolation Incident On A Horizontal Surface at 00 GMT
ALLSKY_SFC_SW_DWN_03_GMT,All Sky Insolation Incident On A Horizontal Surface at 03 GMT
ALLSKY_SFC_SW_DWN_06_GMT,All Sky Insolation Incident On A Horizontal Surface at 06 GMT
ALLSKY_SFC_SW_DWN_09_GMT,All Sky Insolation Incident On A Horizontal Surface at 09 GMT
ALLSKY_SFC_SW_DWN_12_GMT,All Sky Insolation Incident On A Horizontal Surface at 12 GMT
ALLSKY_SFC_SW_DWN_15_GMT,All Sky Insolation Incident On A Horizontal Surface at 15 GMT
ALLSKY_SFC_SW_DWN_18_GMT,All Sky Insolation Incident On A Horizontal Surface at 18 GMT
ALLSKY_SFC_SW_DWN_21_GMT,All Sky Insolation Incident On A Horizontal Surface at 21 GMT
ALLSKY_SFC_SW_DWN_MAX_DIFF,Maximum Monthly Difference From Monthly Averaged All Sky Insolation
ALLSKY_SFC_SW_DWN_MIN_DIFF,Minimum Monthly Difference From Monthly Averaged All Sky Insolation
ALLSKY_TOA_SW_DWN,Top-of-atmosphere Insolation
CDD0,Cooling Degree Days Above 0 C
CDD10,Cooling Degree Days Above 10 C
CDD18_3,Cooling Degree Days Above 18.3 C
CLD_AMT,Daylight Cloud Amount
CLD_AMT_00_GMT,Cloud Amount at 00 GMT
CLD_AMT_03_GMT,Cloud Amount at 03 GMT
CLD_AMT_06_GMT,Cloud Amount at 06 GMT
CLD_AMT_09_GMT,Cloud Amount at 09 GMT
CLD_AMT_12_GMT,Cloud Amount at 12 GMT
CLD_AMT_15_GMT,Cloud Amount at 15 GMT
CLD_AMT_18_GMT,Cloud Amount at 18 GMT
CLD_AMT_21_GMT,Cloud Amount at 21 GMT
CLRSKY_DIFF,Clear Sky Diffuse Radiation On A Horizontal Surface
CLRSKY_NKT,Normalized Clear Sky Insolation Clearness Index
